,zip_code,0-5_slots_built,total_slots_built,small_buildings,med_buildings,large_buildings,05_added,512_added,012_added,012_existing,05_existing,new_total_05,new_total_012,05_pop,012_pop,is_hd
69,10465.0,1800.0,3600.0,0.0,0.0,9.0,110.0,0.0,110.0,1888,269.0,2179.0,5598.0,3268.0,7206.0,0.0
70,10466.0,2200.0,4400.0,0.0,0.0,11.0,173.0,0.0,173.0,3192,556.0,2929.0,7765.0,4393.0,11961.0,1.0
71,10467.0,3000.0,6000.0,0.0,0.0,15.0,302.0,0.0,302.0,6220,926.0,4228.0,12522.0,6341.0,17084.0,1.0
72,10468.0,3400.0,6800.0,0.0,0.0,17.0,26.0,0.0,26.0,4308,1022.0,4448.0,11134.0,6671.0,15651.0,1.0
73,10469.0,2400.0,4800.0,0.0,0.0,12.0,180.0,0.0,180.0,2315,409.0,2989.0,7295.0,4483.0,10980.0,1.0
74,10470.0,800.0,1600.0,0.0,0.0,4.0,0.0,0.0,0.0,632,85.0,885.0,2232.0,1311.0,2154.0,1.0
75,10471.0,600.0,1200.0,0.0,0.0,3.0,32.0,0.0,32.0,284,45.0,677.0,1516.0,1015.0,2508.0,0.0
76,10472.0,2800.0,5600.0,0.0,0.0,14.0,174.0,0.0,174.0,3593,574.0,3548.0,9367.0,5321.0,12390.0,1.0
77,10473.0,1800.0,3600.0,0.0,0.0,9.0,341.0,0.0,341.0,3548,354.0,2495.0,7489.0,3742.0,9701.0,1.0
78,10474.0,600.0,1200.0,0.0,0.0,3.0,0.0,0.0,0.0,1194,84.0,684.0,2394.0,1001.0,2601.0,1.0
79,10475.0,1800.0,3600.0,0.0,0.0,9.0,211.0,0.0,211.0,1808,66.0,2077.0,5619.0,3115.0,6456.0,1.0
80,10502.0,200.0,400.0,0.0,0.0,1.0,5.0,0.0,5.0,273,10.0,215.0,678.0,322.0,1006.0,0.0
81,10504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706,547.0,547.0,706.0,521.0,1472.0,0.0
82,10506.0,200.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,80,12.0,212.0,480.0,316.0,1147.0,0.0
83,10507.0,200.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,220,151.0,351.0,620.0,425.0,1062.0,0.0
84,10509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015,800.0,800.0,1015.0,1103.0,2941.0,0.0
85,10510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704,378.0,378.0,704.0,375.0,1430.0,0.0
86,10511.0,100.0,200.0,0.0,1.0,0.0,0.0,0.0,0.0,72,10.0,110.0,272.0,119.0,302.0,0.0
87,10512.0,600.0,1200.0,0.0,0.0,3.0,0.0,0.0,0.0,230,157.0,757.0,1430.0,1127.0,2902.0,0.0
88,10514.0,100.0,200.0,0.0,1.0,0.0,0.0,23.0,23.0,585,424.0,524.0,808.0,732.0,2422.0,0.0
89,10516.0,50.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,163,152.0,202.0,263.0,283.0,716.0,0.0
90,10520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847,546.0,546.0,847.0,618.0,1867.0,0.0
91,10522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581,449.0,449.0,581.0,592.0,1720.0,0.0
92,10523.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,733,454.0,456.0,735.0,684.0,1580.0,0.0
93,10524.0,100.0,200.0,0.0,1.0,0.0,0.0,0.0,0.0,16,5.0,105.0,216.0,131.0,506.0,0.0
94,10527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64.0,64.0,64.0,15.0,71.0,1.0
95,10528.0,0.0,0.0,0.0,0.0,0.0,24.0,79.0,103.0,690,500.0,524.0,793.0,786.0,2378.0,0.0
96,10530.0,400.0,800.0,0.0,0.0,2.0,0.0,0.0,0.0,405,182.0,582.0,1205.0,867.0,1746.0,0.0
97,10532.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,381,176.0,193.0,398.0,289.0,708.0,0.0
98,10533.0,250.0,500.0,1.0,0.0,1.0,21.0,0.0,21.0,157,88.0,359.0,678.0,538.0,1726.0,0.0
99,10535.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,100,0.0,5.0,105.0,7.0,10.0,1.0
100,10536.0,200.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,315,241.0,441.0,715.0,515.0,1906.0,0.0
101,10538.0,400.0,800.0,0.0,0.0,2.0,37.0,0.0,37.0,455,372.0,809.0,1292.0,1213.0,3813.0,0.0
102,10541.0,200.0,400.0,0.0,0.0,1.0,43.0,0.0,43.0,958,623.0,866.0,1401.0,1299.0,3816.0,0.0
103,10543.0,200.0,400.0,0.0,0.0,1.0,132.0,0.0,132.0,867,430.0,762.0,1399.0,1142.0,3708.0,0.0
104,10547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817,497.0,497.0,817.0,370.0,1005.0,0.0
105,10548.0,200.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,121,61.0,261.0,521.0,303.0,599.0,0.0
106,10549.0,250.0,500.0,1.0,0.0,1.0,96.0,0.0,96.0,734,584.0,930.0,1330.0,1395.0,2646.0,0.0
107,10550.0,1000.0,2000.0,0.0,0.0,5.0,0.0,0.0,0.0,1162,479.0,1479.0,3162.0,2127.0,6193.0,1.0
108,10552.0,400.0,800.0,0.0,0.0,2.0,42.0,0.0,42.0,596,247.0,689.0,1438.0,1033.0,2518.0,0.0
109,10553.0,250.0,500.0,1.0,0.0,1.0,1.0,0.0,1.0,156,41.0,292.0,657.0,438.0,1213.0,1.0
110,10560.0,250.0,500.0,1.0,0.0,1.0,6.0,0.0,6.0,129,0.0,256.0,635.0,383.0,864.0,0.0
111,10562.0,400.0,800.0,0.0,0.0,2.0,161.0,0.0,161.0,1737,611.0,1172.0,2698.0,1757.0,4094.0,0.0
112,10566.0,200.0,400.0,0.0,0.0,1.0,56.0,0.0,56.0,862,438.0,694.0,1318.0,1040.0,2885.0,0.0
113,10567.0,600.0,1200.0,0.0,0.0,3.0,0.0,0.0,0.0,303,183.0,783.0,1503.0,1135.0,2999.0,0.0
114,10570.0,250.0,500.0,1.0,0.0,1.0,51.0,0.0,51.0,316,139.0,440.0,867.0,659.0,1911.0,0.0
115,10573.0,800.0,1600.0,0.0,0.0,4.0,101.0,0.0,101.0,1573,598.0,1499.0,3274.0,2248.0,5926.0,0.0
116,10576.0,100.0,200.0,0.0,1.0,0.0,0.0,0.0,0.0,40,0.0,100.0,240.0,98.0,459.0,0.0
117,10577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365,341.0,341.0,365.0,212.0,376.0,0.0
118,10579.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,53.0,310,80.0,133.0,363.0,199.0,918.0,0.0
119,10580.0,400.0,800.0,0.0,0.0,2.0,0.0,0.0,0.0,410,268.0,668.0,1210.0,801.0,3427.0,0.0
120,10583.0,400.0,800.0,0.0,0.0,2.0,0.0,0.0,0.0,1776,1359.0,1759.0,2576.0,2181.0,7642.0,0.0
121,10588.0,250.0,500.0,1.0,0.0,1.0,0.0,0.0,0.0,41,0.0,250.0,541.0,322.0,567.0,0.0
122,10589.0,100.0,200.0,0.0,1.0,0.0,0.0,0.0,0.0,210,64.0,164.0,410.0,182.0,703.0,1.0
123,10590.0,50.0,100.0,1.0,0.0,0.0,3.0,0.0,3.0,245,163.0,216.0,348.0,324.0,1040.0,0.0
124,10591.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,160.0,1667,750.0,910.0,1827.0,1364.0,3198.0,0.0
125,10594.0,250.0,500.0,1.0,0.0,1.0,0.0,0.0,0.0,32,10.0,260.0,532.0,359.0,951.0,0.0
126,10595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740,620.0,620.0,740.0,356.0,788.0,0.0
127,10598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592,1068.0,1068.0,1592.0,1277.0,4246.0,0.0
128,10601.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,284,229.0,229.0,338.0,330.0,1014.0,0.0
129,10603.0,650.0,1300.0,1.0,0.0,3.0,37.0,0.0,37.0,338,83.0,770.0,1675.0,1155.0,3054.0,0.0
130,10604.0,0.0,0.0,0.0,0.0,0.0,31.0,9.0,40.0,727,441.0,472.0,767.0,707.0,2300.0,0.0
131,10605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2123,1489.0,1489.0,2123.0,979.0,2616.0,0.0
132,10606.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0,923,605.0,628.0,946.0,941.0,2268.0,0.0
133,10607.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,345,228.0,228.0,409.0,334.0,818.0,1.0
134,10701.0,1800.0,3600.0,0.0,0.0,9.0,244.0,0.0,244.0,2656,1082.0,3126.0,6500.0,4688.0,11620.0,1.0
135,10703.0,400.0,800.0,0.0,0.0,2.0,126.0,0.0,126.0,983,296.0,822.0,1909.0,1232.0,3004.0,0.0
136,10704.0,1100.0,2200.0,0.0,1.0,5.0,10.0,0.0,10.0,620,140.0,1250.0,2830.0,1875.0,4423.0,0.0
137,10705.0,800.0,1600.0,0.0,0.0,4.0,42.0,0.0,42.0,1750,464.0,1306.0,3392.0,1959.0,5959.0,1.0
138,10706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630,322.0,322.0,630.0,407.0,1279.0,0.0
139,10707.0,200.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,357,294.0,494.0,757.0,715.0,1480.0,0.0
140,10708.0,650.0,1300.0,1.0,0.0,3.0,13.0,0.0,13.0,193,93.0,756.0,1506.0,1133.0,2903.0,0.0
141,10709.0,200.0,400.0,0.0,0.0,1.0,72.0,0.0,72.0,437,52.0,324.0,909.0,485.0,1624.0,0.0
142,10710.0,800.0,1600.0,0.0,0.0,4.0,0.0,0.0,0.0,757,46.0,846.0,2357.0,1211.0,3319.0,0.0
143,10801.0,400.0,800.0,0.0,0.0,2.0,200.0,0.0,200.0,2388,626.0,1226.0,3388.0,1839.0,5582.0,0.0
144,10803.0,100.0,200.0,0.0,1.0,0.0,0.0,42.0,42.0,660,559.0,659.0,902.0,656.0,2705.0,0.0
145,10804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215,695.0,695.0,1215.0,664.0,2805.0,0.0
146,10805.0,600.0,1200.0,0.0,0.0,3.0,36.0,0.0,36.0,238,127.0,763.0,1474.0,1144.0,2381.0,0.0
147,10901.0,400.0,800.0,0.0,0.0,2.0,119.0,0.0,119.0,973,334.0,853.0,1892.0,1279.0,3968.0,0.0
148,10913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363,190.0,190.0,363.0,141.0,641.0,0.0
149,10916.0,200.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,8,2.0,202.0,408.0,154.0,656.0,0.0
150,10917.0,200.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,175,53.0,253.0,575.0,295.0,448.0,0.0
151,10918.0,400.0,800.0,0.0,0.0,2.0,17.0,0.0,17.0,166,95.0,512.0,983.0,767.0,1808.0,0.0
152,10919.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,100,0.0,16.0,116.0,23.0,101.0,0.0
153,10920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462,282.0,282.0,462.0,389.0,1107.0,0.0
154,10921.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,27.0,182,125.0,148.0,209.0,222.0,625.0,0.0
155,10923.0,450.0,900.0,1.0,0.0,2.0,0.0,0.0,0.0,171,121.0,571.0,1071.0,844.0,1806.0,0.0
156,10924.0,200.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,435,344.0,544.0,835.0,730.0,1925.0,0.0
